,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1,2021-01-29 11:00:00,37129.40000000,37569.00000000,33500.00000000,34252.20000000,62415.98993900,1611964799999,2195327484.53419817,1192297,29449.46092900,1036490813.96827969
2,2021-01-29 19:00:00,34246.28000000,34933.00000000,32825.00000000,34046.80000000,34489.07074200,1611993599999,1165325956.83266076,819902,17073.14863300,577334853.26143186
0,2021-01-30 03:00:00,34046.82000000,34500.00000000,33410.63000000,34210.20000000,27886.01826400,1612022399999,949562917.49782767,687441,14066.72421800,479018159.56238271
1,2021-01-30 11:00:00,34210.18000000,34800.00000000,33520.00000000,34262.88000000,22514.59233400,1612051199999,769611188.60758999,693697,11278.59424800,385628387.82982368
2,2021-01-30 19:00:00,34262.89000000,34342.69000000,33450.00000000,33607.98000000,16872.64686600,1612079999999,571925955.96741704,460068,8102.38243800,274681554.90497096
0,2021-01-31 03:00:00,33607.68000000,34220.00000000,32554.00000000,32862.66000000,25646.65202000,1612108799999,858464150.64291928,609216,12334.18563600,413156266.66328470
1,2021-01-31 11:00:00,32862.65000000,33255.49000000,32171.67000000,33092.98000000,26222.98149800,1612137599999,859250939.14767601,637780,12043.87928400,394664729.95231548
2,2021-01-31 19:00:00,33092.97000000,34427.00000000,32296.16000000,33803.97000000,30024.86152900,1612166399999,1004147791.01807738,682300,15622.10687700,522749779.97001132
0,2021-02-01 03:00:00,33802.60000000,34717.27000000,33160.00000000,33160.17000000,37000.21446900,1612195199999,1258941146.04460973,765487,18572.38235200,632208346.04482543
1,2021-02-01 11:00:00,33160.00000000,34100.00000000,33133.26000000,33526.37000000,15693.20088400,1612223999999,528687720.94291849,362705,7661.35225700,258200840.71326117
2,2021-02-01 19:00:00,33517.09000000,34400.00000000,33418.00000000,34223.38000000,19533.32922200,1612252799999,662186093.98663892,471626,9793.00328500,332083196.00541686
0,2021-02-02 03:00:00,34223.38000000,35668.10000000,34080.00000000,34708.47000000,34778.09325500,1612281599999,1214663988.30088151,707487,17810.56797500,622149703.82169584
1,2021-02-02 11:00:00,34708.47000000,35984.33000000,34556.85000000,35466.24000000,23745.23740300,1612310399999,839471814.03008808,610559,11612.99184600,410558064.80978689
2,2021-02-02 19:00:00,35472.71000000,36845.00000000,35362.38000000,36297.57000000,25481.22294200,1612339199999,924417380.62656761,541287,12777.26020000,463675620.21941452
0,2021-02-03 03:00:00,36297.58000000,36917.27000000,35511.00000000,36850.00000000,28236.81457300,1612367999999,1023075079.09964874,629718,13746.47196500,497908847.25555595
1,2021-02-03 11:00:00,36850.00000000,37662.63000000,36643.07000000,37618.87000000,27066.29614800,1612396799999,1003740328.45808893,710735,13339.34289500,494663578.66694668
2,2021-02-03 19:00:00,37620.26000000,38288.00000000,37326.83000000,37843.40000000,27715.62614800,1612425599999,1049321141.12281601,648920,14169.01836800,536654847.95425011
0,2021-02-04 03:00:00,37843.40000000,38708.27000000,36161.95000000,36564.23000000,40728.15556600,1612454399999,1525104691.78483826,938611,20206.02707700,757089631.56042191
1,2021-02-04 11:00:00,36564.23000000,37783.83000000,36399.79000000,36936.66000000,23636.95418400,1612483199999,878243189.24563824,624335,11141.16824500,413965534.37486642
2,2021-02-04 19:00:00,36936.65000000,37727.22000000,36570.00000000,37653.98000000,19954.36860700,1612511999999,741978327.40611158,521811,10216.74136900,380040419.70809821
0,2021-02-05 03:00:00,37659.64000000,38310.12000000,37200.00000000,37960.76000000,26518.75741900,1612540799999,1003738314.51779545,736723,13022.04901000,492942268.75155770
1,2021-02-05 11:00:00,37960.76000000,38309.00000000,37230.00000000,38290.24000000,20208.20824900,1612569599999,763561649.82767958,594719,9517.59465200,359731191.37848242
2,2021-02-05 19:00:00,38289.32000000,39666.00000000,38215.94000000,39359.12000000,36127.99841400,1612598399999,1411103687.20418026,804577,19837.26713200,774682712.79149102
0,2021-02-06 03:00:00,39362.27000000,40866.66000000,39297.75000000,40864.73000000,34020.98154900,1612627199999,1363842498.01086300,790182,18274.07992300,732579954.23745587
1,2021-02-06 11:00:00,40865.12000000,40955.51000000,39035.33000000,39186.94000000,28608.33122000,1612655999999,1147148963.71310721,696887,13904.16630700,557918080.31827716
2,2021-02-06 19:00:00,39181.01000000,39611.04000000,37923.00000000,39030.00000000,29053.98966100,1612684799999,1126067313.29114993,683244,13451.68227200,521528353.64527380
0,2021-02-07 03:00:00,39030.00000000,39700.00000000,37580.00000000,37921.11000000,30291.96256400,1612713599999,1174708110.69824821,687991,15126.13306800,587250801.87925827
1,2021-02-07 11:00:00,37921.12000000,39080.00000000,37351.00000000,38795.69000000,25017.72753800,1612742399999,955745960.25121279,605122,12186.57361900,465703752.03937018
2,2021-02-07 19:00:00,38795.69000000,39391.78000000,37988.89000000,39269.95000000,20809.43680800,1612771199999,805215782.20511673,460889,10272.55867800,397653051.56251384
0,2021-02-08 03:00:00,39269.78000000,44918.00000000,38844.75000000,43716.32000000,67804.49571500,1612799999999,2866908561.16697487,1465060,37587.36235100,1588092718.31524014
1,2021-02-08 11:00:00,43703.23000000,46794.45000000,42521.62000000,46374.87000000,49983.60439100,1612828799999,2209412633.26360787,1305012,24485.97053900,1083568069.56338179
2,2021-02-08 19:00:00,46374.86000000,48142.19000000,45500.00000000,47505.40000000,47035.58101100,1612857599999,2200047886.41565249,1104577,24282.12410800,1136156005.03357720
0,2021-02-09 03:00:00,47505.39000000,47928.23000000,44961.09000000,46773.63000000,41257.03400600,1612886399999,1912576602.41123727,1125860,19782.32561200,917482692.18757440
1,2021-02-09 11:00:00,46773.63000000,47499.43000000,46011.00000000,46420.42000000,27207.24669500,1612915199999,1273630909.19029750,888597,13365.11462700,625812339.27065189
2,2021-02-09 19:00:00,46420.42000000,46944.07000000,45589.98000000,46563.69000000,26566.10166300,1612943999999,1230908448.21338510,825618,13856.16597500,642075333.46382553
0,2021-02-10 03:00:00,46565.11000000,47310.00000000,43727.00000000,44353.04000000,44298.42699600,1612972799999,2022812138.90737804,1303231,20933.96373700,957461838.23097595
1,2021-02-10 11:00:00,44354.50000000,45322.09000000,43800.00000000,44807.58000000,26289.65354100,1613001599999,1177929543.13034211,762743,13181.85601900,590694067.12278522
2,2021-02-10 19:00:00,44807.58000000,45129.59000000,43994.02000000,44700.01000000,15129.10172500,1613030399999,675018319.86701746,478482,7462.24434600,332994429.38817217
0,2021-02-11 03:00:00,44700.00000000,48399.00000000,44500.00000000,47960.85000000,42243.39810800,1613059199999,1978953476.40990739,1119463,22819.64202000,1070159886.33962962
1,2021-02-11 11:00:00,47960.86000000,48678.90000000,46542.29000000,47969.51000000,32188.58162100,1613087999999,1531659138.13397014,973004,15856.45037400,755181606.96452159
2,2021-02-11 19:00:00,47968.66000000,48985.80000000,46789.00000000,47318.81000000,29948.30515100,1613116799999,1429577806.82174560,800762,14923.23868800,713429843.44658536
0,2021-02-12 03:00:00,47318.02000000,48140.00000000,46125.00000000,47021.05000000,31447.37167000,1613145599999,1487305019.70935206,827893,14565.03111200,689468181.44074580
1,2021-02-12 11:00:00,47021.05000000,48150.00000000,46915.32000000,47287.60000000,24474.35887600,1613174399999,1163689082.43656387,790186,12352.76933500,587574894.04125371
2,2021-02-12 19:00:00,47298.15000000,48150.00000000,46990.00000000,46995.72000000,19375.90327400,1613203199999,922674882.62374029,639203,9701.06128100,462060147.72857441
0,2021-02-13 03:00:00,46995.01000000,47569.03000000,46202.53000000,47076.01000000,28888.50409600,1613231999999,1356368083.82044769,846711,13561.92166300,636931934.22533070
1,2021-02-13 11:00:00,47076.02000000,47400.14000000,46653.58000000,47153.69000000,15503.69002900,1613260799999,728667180.97397166,572909,7733.32691500,363503318.03890646
2,2021-02-13 19:00:00,47156.78000000,49404.94000000,47014.17000000,48725.18000000,29030.25478100,1613289599999,1397955421.29393757,694063,16462.22033800,793268955.96092758
0,2021-02-14 03:00:00,48725.18000000,49707.43000000,48101.38000000,48541.18000000,27536.46364100,1613318399999,1348735826.53585905,831064,13851.32507100,678678568.69091556
1,2021-02-14 11:00:00,48537.96000000,49300.00000000,48400.31000000,48577.79000000,17168.75711100,1613347199999,838117101.00493610,564943,8438.61127200,412062396.41101749
2,2021-02-14 19:00:00,48580.47000000,49010.92000000,45570.79000000,47267.06000000,35699.31112100,1613375999999,1682172994.30998369,1013283,16267.83614700,766393030.68854879
0,2021-02-15 03:00:00,47270.50000000,48219.23000000,47112.38000000,47938.83000000,22364.46620900,1613404799999,1067073157.91083750,660484,11321.44068400,540226565.74704882
1,2021-02-15 11:00:00,47938.84000000,48801.00000000,47643.00000000,47911.10000000,21334.37945400,1613433599999,1032972908.44390086,639388,10587.08783000,512632059.34582945
2,2021-02-15 19:00:00,47911.10000000,49998.00000000,47003.62000000,49163.46000000,29458.73043800,1613462399999,1438153668.18218007,712374,15570.47858600,761135033.01790114
0,2021-02-16 03:00:00,49161.75000000,50689.18000000,48403.21000000,48956.91000000,36610.64831600,1613491199999,1807222741.58736720,868263,19210.04483500,949276559.47698868
1,2021-02-16 11:00:00,48956.91000000,49291.00000000,47750.00000000,49133.45000000,22743.88754400,1613519999999,1104607367.92282000,619212,10828.08041700,526113012.49346615
2,2021-02-16 19:00:00,49133.45000000,51266.09000000,48947.00000000,51112.39000000,30491.69869600,1613548799999,1523638359.62630956,792171,16428.66464800,821464673.11844494
0,2021-02-17 03:00:00,51116.77000000,51678.36000000,50542.30000000,51169.97000000,32742.95044000,1613577599999,1675417458.72931469,1011131,17227.26257400,881657807.73419948
1,2021-02-17 11:00:00,51169.97000000,52618.74000000,50780.00000000,52119.71000000,22508.98868200,1613606399999,1166775696.45967395,711072,11399.51901900,590976754.42737814
2,2021-02-17 19:00:00,52117.67000000,52530.00000000,51295.00000000,51901.96000000,20235.59278500,1613635199999,1052862883.88965734,623764,9559.15454600,497442611.59149496
0,2021-02-18 03:00:00,51901.95000000,52285.00000000,50901.90000000,51585.29000000,23673.39435000,1613663999999,1222700529.43512925,750330,11223.13145000,579823822.57990303
1,2021-02-18 11:00:00,51585.29000000,52195.12000000,51450.00000000,51552.60000000,16849.05981900,1613692799999,874409664.16267932,517498,8111.07262700,420965201.67251091
2,2021-02-18 19:00:00,51552.61000000,51943.99000000,50710.20000000,51727.08000000,19937.17876400,1613721599999,1025387589.89197261,605268,9664.69288100,497214270.10476386
0,2021-02-19 03:00:00,51727.09000000,53886.07000000,51649.82000000,53863.19000000,27861.17131400,1613750399999,1470634837.12976912,847008,14662.91189000,773865342.30479820
1,2021-02-19 11:00:00,53863.82000000,56368.00000000,53605.58000000,55906.00000000,31861.42794200,1613779199999,1755145400.66250471,886939,16228.41547500,893791697.81437938
2,2021-02-19 19:00:00,55906.00000000,56609.14000000,55185.98000000,55207.92000000,23961.14860300,1613807999999,1340417703.54026451,757622,11836.12190500,662248553.78524845
0,2021-02-20 03:00:00,55207.93000000,57700.46000000,55030.00000000,56145.97000000,29449.39238600,1613836799999,1661923300.57821219,976018,14099.21114100,795397230.26283359
1,2021-02-20 11:00:00,56136.55000000,57425.00000000,53863.93000000,55841.19000000,27537.66432500,1613865599999,1549549855.73279794,909206,12700.73322800,715188094.39288283
2,2021-02-20 19:00:00,55841.19000000,56959.71000000,55477.59000000,56091.76000000,17610.87922700,1613894399999,991462558.63391633,512730,8898.52575300,500942939.58626484
0,2021-02-21 03:00:00,56092.02000000,57827.00000000,55821.03000000,57313.99000000,21305.52842500,1613923199999,1216523955.15578358,703331,11304.99001400,645643639.11348553
1,2021-02-21 11:00:00,57313.99000000,58352.80000000,56935.03000000,57408.57000000,19250.30085900,1613951999999,1110011749.55818930,734472,9302.57331800,536520509.45761915
2,2021-02-21 19:00:00,57412.35000000,57508.47000000,55102.77000000,56422.92000000,26774.71643300,1613980799999,1507543146.62904420,779403,12689.99136500,714645955.83857681
0,2021-02-22 03:00:00,56422.23000000,56623.69000000,47622.00000000,53236.69000000,76306.44285100,1614009599999,4052790996.04967939,1704444,35747.65440200,1897854972.26179119
1,2021-02-22 11:00:00,53236.69000000,54989.46000000,51570.00000000,54087.67000000,30938.27566000,1614038399999,1653052577.75807423,829236,15240.01621200,814716226.42060487
2,2021-02-22 19:00:00,54087.67000000,54183.59000000,48615.00000000,49640.33000000,46333.78283400,1614067199999,2362740346.72212506,1111442,22143.69316400,1130151577.54712165
0,2021-02-23 03:00:00,49642.92000000,50027.01000000,44892.56000000,48602.03000000,90440.12471500,1614095999999,4304859215.05072183,1927716,43968.40284000,2094575027.30113315
1,2021-02-23 11:00:00,48602.02000000,49247.69000000,45251.00000000,48891.00000000,32601.11750200,1614124799999,1548239569.47053885,786038,16352.04698800,777468687.24910124
2,2021-02-23 19:00:00,48891.00000000,51357.00000000,46988.69000000,50090.57000000,33003.37687600,1614153599999,1643997017.84064890,793260,17176.85566800,856333524.40521004
0,2021-02-24 03:00:00,50090.61000000,51374.99000000,48450.00000000,49819.50000000,36092.39293100,1614182399999,1808865680.95361366,852878,17663.03254000,885202045.19467337
1,2021-02-24 11:00:00,49819.49000000,50150.00000000,48028.18000000,49676.20000000,22785.43944500,1614211199999,1121170302.58527357,548394,10910.82662300,537031036.53846347
