,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volumn,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1,2021-02-04 11:00:00,1580.80000000,1670.67000000,1565.00000000,1595.67000000,487605.56464000,1612483199999,794344525.34415890,490095,251940.37218000,410761592.61595720
2,2021-02-04 19:00:00,1595.53000000,1669.50000000,1591.00000000,1662.36000000,321112.13973000,1612511999999,523666442.46243980,355743,164781.85924000,268797907.91923980
0,2021-02-05 03:00:00,1662.60000000,1748.00000000,1641.22000000,1741.99000000,482019.30002000,1612540799999,816355582.97861570,500359,246876.91592000,418052325.07359790
1,2021-02-05 11:00:00,1742.00000000,1760.49000000,1682.00000000,1719.19000000,390991.85971000,1612569599999,671663885.72583120,470313,189289.86245000,325451260.09331560
2,2021-02-05 19:00:00,1718.95000000,1743.67000000,1642.94000000,1673.32000000,469107.32047000,1612598399999,788944797.24466300,447679,223798.44388000,376379647.88049610
0,2021-02-06 03:00:00,1673.21000000,1718.47000000,1663.00000000,1673.04000000,369887.03993000,1612627199999,624561143.01286770,392395,179600.37321000,303465881.25488790
1,2021-02-06 11:00:00,1673.04000000,1719.99000000,1655.23000000,1676.35000000,310813.97061000,1612655999999,526551917.68636750,312093,162304.70836000,275096299.26639590
2,2021-02-06 19:00:00,1676.35000000,1693.00000000,1585.44000000,1632.00000000,385186.05933000,1612684799999,628572074.26980650,400797,182087.95954000,297005755.36760940
0,2021-02-07 03:00:00,1632.01000000,1655.77000000,1525.01000000,1538.21000000,451319.76730000,1612713599999,720188539.83441980,447406,214466.62267000,342617301.88450340
1,2021-02-07 11:00:00,1538.19000000,1621.46000000,1490.46000000,1611.62000000,445229.04151000,1612742399999,695610974.91905010,415534,222235.11530000,347661072.48327810
2,2021-02-07 19:00:00,1611.46000000,1647.73000000,1563.89000000,1639.59000000,289113.48630000,1612771199999,464648296.75418230,282530,144444.80690000,232304702.71576020
0,2021-02-08 03:00:00,1639.52000000,1757.00000000,1625.39000000,1734.79000000,576120.80079000,1612799999999,973582580.22336090,610415,301781.85009000,510272333.66837580
1,2021-02-08 11:00:00,1734.86000000,1775.57000000,1679.65000000,1750.15000000,474542.80827000,1612828799999,817196049.04243460,479843,231387.63813000,398711348.16329380
2,2021-02-08 19:00:00,1749.68000000,1770.00000000,1708.49000000,1750.82000000,361134.67925000,1612857599999,629176852.80736320,350258,180410.37876000,314451703.48699900
0,2021-02-09 03:00:00,1750.50000000,1821.88000000,1712.19000000,1749.00000000,521811.27723000,1612886399999,921102285.40721340,495221,262452.85069000,463767118.09841300
1,2021-02-09 11:00:00,1749.01000000,1791.58000000,1720.38000000,1769.13000000,302125.93945000,1612915199999,530539753.48432840,327942,150560.13923000,264447349.59533890
2,2021-02-09 19:00:00,1769.14000000,1825.00000000,1758.24000000,1810.84000000,362992.21018000,1612943999999,652886817.72254370,370425,193436.26737000,348092303.64684560
0,2021-02-10 03:00:00,1810.84000000,1837.86000000,1680.00000000,1714.37000000,573484.77087000,1612972799999,1005803370.84321390,608264,269827.61033000,473785167.42042490
1,2021-02-10 11:00:00,1714.21000000,1758.73000000,1690.80000000,1740.78000000,283455.27369000,1613001599999,490385955.84190010,300451,142199.04048000,246071529.45644290
2,2021-02-10 19:00:00,1740.76000000,1749.01000000,1703.44000000,1737.44000000,158171.29212000,1613030399999,273129439.32189790,176602,78896.40758000,136256374.26868020
0,2021-02-11 03:00:00,1737.18000000,1819.00000000,1731.03000000,1796.17000000,331414.18780000,1613059199999,590472033.97976420,443728,169466.11399000,302003333.46050690
1,2021-02-11 11:00:00,1796.40000000,1810.00000000,1754.41000000,1785.62000000,245494.34707000,1613087999999,438080398.26160670,315272,118693.61961000,211893937.71400020
2,2021-02-11 19:00:00,1785.83000000,1808.00000000,1739.88000000,1768.28000000,232675.53462000,1613116799999,412119059.44499470,258846,110001.37751000,194909069.99857500
0,2021-02-12 03:00:00,1768.38000000,1802.00000000,1749.50000000,1789.03000000,292910.82611000,1613145599999,519733604.98295500,309202,145037.90164000,257442642.20458470
1,2021-02-12 11:00:00,1789.20000000,1864.88000000,1787.08000000,1840.26000000,384013.84580000,1613174399999,703574203.34614300,428447,205740.55794000,376866215.14104920
2,2021-02-12 19:00:00,1840.24000000,1871.72000000,1805.54000000,1806.60000000,251450.09375000,1613203199999,464753538.60838880,261299,120223.15036000,222318708.65839270
0,2021-02-13 03:00:00,1806.22000000,1838.90000000,1765.00000000,1816.54000000,331566.93514000,1613231999999,597687245.11609080,360983,158019.65572000,284963772.41873430
1,2021-02-13 11:00:00,1816.43000000,1823.99000000,1782.63000000,1814.96000000,184572.04396000,1613260799999,333153309.55951800,230907,93765.44533000,169249437.46612600
2,2021-02-13 19:00:00,1815.25000000,1850.00000000,1800.00000000,1831.70000000,242656.34655000,1613289599999,443961369.03972890,243698,128002.90299000,234199356.43598390
0,2021-02-14 03:00:00,1831.63000000,1847.54000000,1784.11000000,1799.05000000,252251.98342000,1613318399999,459539933.71238880,274374,116443.44997000,212239342.45434130
1,2021-02-14 11:00:00,1799.04000000,1832.20000000,1789.03000000,1800.42000000,180353.44876000,1613347199999,326541992.28216610,196755,89558.98048000,162118280.21220810
2,2021-02-14 19:00:00,1800.03000000,1813.02000000,1655.67000000,1749.67000000,502903.52768000,1613375999999,870456834.45050300,504032,234735.02912000,406117557.90227490
0,2021-02-15 03:00:00,1749.68000000,1814.68000000,1740.52000000,1810.28000000,280502.08817000,1613404799999,500766442.04002680,278751,146150.34367000,260823712.81165950
1,2021-02-15 11:00:00,1810.32000000,1835.72000000,1762.65000000,1779.25000000,270068.96294000,1613433599999,489115095.40687800,303806,130885.99992000,237146564.04030290
2,2021-02-15 19:00:00,1779.33000000,1827.28000000,1744.92000000,1797.57000000,239854.95936000,1613462399999,430725553.59590850,253470,115063.78385000,206718283.71013960
0,2021-02-16 03:00:00,1797.79000000,1825.00000000,1761.08000000,1773.22000000,305936.72787000,1613491199999,548579520.31207510,299394,146680.28519000,263155173.92215410
1,2021-02-16 11:00:00,1773.23000000,1784.53000000,1724.00000000,1781.99000000,271701.78790000,1613519999999,476579818.01639650,273261,127651.71796000,223931381.11691060
2,2021-02-16 19:00:00,1781.99000000,1808.00000000,1733.01000000,1806.21000000,230863.09940000,1613548799999,408128197.83524510,244456,115831.75764000,204851083.92074170
0,2021-02-17 03:00:00,1806.15000000,1842.32000000,1789.25000000,1812.00000000,313527.13384000,1613577599999,569253396.15540490,333268,164453.79727000,298728720.28939660
1,2021-02-17 11:00:00,1812.18000000,1855.00000000,1800.00000000,1849.88000000,251321.39987000,1613606399999,460165218.98118170,284737,132101.89530000,241988489.55158470
2,2021-02-17 19:00:00,1849.70000000,1919.22000000,1849.69000000,1898.85000000,336121.38029000,1613635199999,635692178.82472230,324841,177458.55903000,335638521.91717390
0,2021-02-18 03:00:00,1898.90000000,1929.00000000,1881.07000000,1907.91000000,352720.88995000,1613663999999,672142243.09754940,437051,183943.98319000,350582177.35518970
1,2021-02-18 11:00:00,1908.16000000,1950.50000000,1906.44000000,1939.61000000,248384.83167000,1613692799999,479549110.18010440,291769,132204.48327000,255320517.50877240
2,2021-02-18 19:00:00,1938.91000000,1952.00000000,1891.00000000,1919.10000000,264970.58059000,1613721599999,508428308.22511290,325007,127406.68873000,244542571.56115320
0,2021-02-19 03:00:00,1919.10000000,1942.77000000,1904.02000000,1929.91000000,281580.43564000,1613750399999,542723869.87276470,294114,138493.96161000,266991150.26028500
1,2021-02-19 11:00:00,1930.07000000,1972.82000000,1930.07000000,1955.00000000,246853.39527000,1613779199999,482839454.03166850,369199,123054.20243000,240734182.34852860
2,2021-02-19 19:00:00,1955.46000000,2042.34000000,1922.51000000,1984.73000000,449664.44836000,1613807999999,894584593.23161990,405110,235266.04623000,468653465.75409970
0,2021-02-20 03:00:00,1984.80000000,2036.90000000,1959.07000000,1978.79000000,377432.02877000,1613836799999,756797067.78523280,416960,183495.67352000,368188469.69205010
1,2021-02-20 11:00:00,1978.69000000,2022.00000000,1803.14000000,1913.00000000,434219.33566000,1613865599999,842454585.47029290,506997,205954.70433000,399940186.89845510
2,2021-02-20 19:00:00,1912.90000000,1956.00000000,1883.01000000,1912.69000000,271350.80572000,1613894399999,523091696.08291640,315225,144635.60156000,278897299.82416200
0,2021-02-21 03:00:00,1913.08000000,1975.32000000,1900.19000000,1959.90000000,262980.03187000,1613923199999,512878414.86059550,280128,134023.08771000,261402735.31577730
1,2021-02-21 11:00:00,1959.82000000,1976.31000000,1901.20000000,1933.53000000,222237.35984000,1613951999999,432000826.34156060,299785,107473.57734000,208971545.43474580
2,2021-02-21 19:00:00,1933.54000000,1936.29000000,1835.00000000,1886.63000000,359113.16489000,1613980799999,676153123.64678220,399454,174554.36758000,328609396.05697440
0,2021-02-22 03:00:00,1886.61000000,1889.74000000,1551.00000000,1733.29000000,973699.99724000,1614009599999,1700280821.30449950,927501,453252.18417000,791547676.84127730
1,2021-02-22 11:00:00,1733.33000000,1803.59000000,1659.00000000,1777.58000000,474431.81886000,1614038399999,824049232.02830310,472971,226208.07778000,393590834.90478710
2,2021-02-22 19:00:00,1777.42000000,1782.39000000,1555.00000000,1586.64000000,715548.34224000,1614067199999,1180947343.62364720,682693,348735.42082000,575961275.05790140
0,2021-02-23 03:00:00,1586.64000000,1601.04000000,1355.00000000,1573.99000000,1406035.33954000,1614095999999,2099071926.06776020,1239292,670018.77718000,1001532452.01867790
1,2021-02-23 11:00:00,1573.99000000,1608.37000000,1434.20000000,1577.89000000,426254.13890000,1614124799999,651388637.84286910,474641,213135.26531000,325995361.06732670
2,2021-02-23 19:00:00,1577.79000000,1653.69000000,1500.20000000,1642.33000000,447004.23186000,1614153599999,718638279.36208710,437860,224530.79151000,361055076.93581710
0,2021-02-24 03:00:00,1642.33000000,1712.70000000,1588.81000000,1660.45000000,566654.66821000,1614182399999,941637338.54546060,532446,283440.49940000,471386392.24812870
1,2021-02-24 11:00:00,1660.46000000,1677.18000000,1555.00000000,1623.39000000,370729.91720000,1614211199999,600989227.55752670,349630,197916.52413000,321351348.00259650
2,2021-02-24 19:00:00,1623.16000000,1657.89000000,1586.64000000,1633.80000000,296235.19608000,1614239999999,480951517.25345690,271072,142312.95658000,231065340.65087470
0,2021-02-25 03:00:00,1633.69000000,1671.59000000,1577.88000000,1627.57000000,346716.46790000,1614268799999,563009774.80064910,351253,179323.60846000,291326004.58617570
